# 程序结构
Params
Vars
If
Else
Begin
End
For
To
DownTo
While
Break
Continue
True
False
# 数据类型
Bool	布尔型
Low	当前公式应用商品在当前Bar的最低价
O	当前公式应用商品在当前Bar的开盘价
Open	当前公式应用商品在当前Bar的开盘价
OpenInt	当前公式应用商品在当前Bar的持仓量
T	当前公式应用商品在当前Bar的时间
Time	当前公式应用商品在当前Bar的时间
V	当前公式应用商品在当前Bar的成交量
Vol	当前公式应用商品在当前Bar的成交量

# 属性函数
BarInterval	当前公式应用商品数据的周期数值
BarType	当前公式应用商品数据的周期类型值
BidAskSize	当前公式应用商品数据的买卖盘个数
BigPointValue	当前公式应用商品数据的一个整数点的价值
CanMarketOrder	当前公式应用商品是否支持市价委托
CanShortTrade	当前公式应用商品是否支持空头交易
CanStopOrder	当前公式应用商品是否支持STOP委托
CanTrade	当前公式应用商品是否支持交易
Category	当前公式应用商品的大类信息
ContractSize	当前商品的合约大小
ContractUnit	当前公式应用商品的每张合约包含的基本单位数量
CurrencyName	当前公式应用商品交易的货币名称
CurrencySymbol	当前公式应用商品交易的货币符号
DataCount	当前公式应用图表数据源的总数
ExchangeName	当前公式应用商品的交易所名称
ExpiredDate	当前公式应用商品的最后交易日
GetSessionCount	获取交易时间段的个数
GetSessionEndTime	获取指定交易时间段的结束时间
GetSessionStartTime	获取指定交易时间段的起始时间
GetUserID	当前登录的用户ID
InitialMargin	当前公式应用商品的初始保证金
MaintenanceMargin	当前公式应用商品的维持保证金
MarginRatio	当前公式应用商品的默认保证金比率
MaxBarsBack	获得公式应用所需的最大回溯Bar数
MaxSingleTradeSize	当前公式应用商品的单笔交易限量
MinMove	当前公式应用商品的最小变动量
OptionStyle	返回期权的类型，欧式还是美式
OptionType	返回期权的类型，是看涨还是看跌期权
PriceScale	当前公式应用商品的计数单位
RelativeSymbol	获取当前商品的关联代码
StrikePrice	返回期权的行权价
Symbol	当前公式应用商品的代码
SymbolName	当前公式应用商品的名称
SymbolType	当前公式应用商品的类型
TradingDayLeft	商品截至到期剩余的日期

# 行情函数
Q_AskPrice	当前公式应用商品的最新卖盘价格
Q_AskPriceFlag	当前公式应用商品的卖盘价格变化标志
Q_AskVol	当前公式应用商品的最新卖盘量
Q_AvgPrice	当前公式应用商品的实时均价
Q_BidPrice	当前公式应用商品的最新买盘价格
Q_BidPriceFlag	当前公式应用商品的买盘价格变化标志
Q_BidVol	当前公式应用商品的最新买盘量
Q_Close	当前公式应用商品的当日收盘价
Q_High	当前公式应用商品的当日最高价
Q_HisHigh	当前公式应用商品的历史最高价
Q_HisLow	当前公式应用商品的历史最低价
Q_InsideVol	当前公式应用商品的内盘
Q_Last	当前公式应用商品的最新价
Q_LastDate	当前公式应用商品的最新成交日期
Q_LastFlag	当前公式应用商品的最新价变化标志
Q_LastTime	当前公式应用商品的最新成交时间
Q_LastVol	当前公式应用商品的现手
Q_Low	当前公式应用商品的当日最低价
Q_LowerLimit	当前公式应用商品的当日跌停板价
Q_Open	当前公式应用商品的当日开盘价
Q_OpenInt	当前公式应用商品的持仓量
Q_OpenIntFlag	当前公式应用商品的持仓量变化标志
Q_Oscillation	当前公式应用商品的振幅
Q_OutsideVol	当前公式应用商品的外盘
Q_PreOpenInt	当前公式应用商品的昨日持仓量
Q_PreSettlePrice	当前公式应用商品的昨日结算价
Q_PriceChg	当前公式应用商品的当日涨跌
Q_PriceChgRatio	当前公式应用商品的当日涨跌幅
Q_TickChg	当前公式应用商品的最新笔升跌
Q_TodayEntryVol	当前公式应用商品的当日开仓量
Q_TodayExitVol	当前公式应用商品的当日平仓量
Q_TotalVol	当前公式应用商品的当日成交量
Q_TurnOver	当前公式应用商品的成交金额
Q_UpperLimit	当前公式应用商品的当日涨停板价
QuoteDataExist	当前公式应用商品的行情数据是否有效

# 帐户函数
A_AccountID	返回当前公式应用的交易帐户ID
A_BrokerID	返回当前公式应用的交易帐户对应的交易商ID
A_BuyAvgPrice	返回当前公式应用的帐户下当前商品的买入持仓均价
A_BuyPosition	返回当前公式应用的帐户下当前商品的买入持仓
A_BuyProfitLoss	返回当前公式应用的帐户下当前商品的买入持仓盈亏
A_CurrentEquity	返回当前公式应用的交易帐户的动态权益
A_DeleteOrder	针对当前公式应用的帐户、商品发送撤单指令
A_FreeMargin	返回当前公式应用的交易帐户的可用资金
A_GetLastOpenOrderIndex	返回当前公式应用的帐户下当前商品的最后一个未成交委托单索引，按输入参数为条件
A_GetLastOrderIndex	返回当前公式应用的帐户下当前商品的最后一个当日委托单索引，按输入参数为条件
A_GetOpenOrderCount	返回当前公式应用的帐户下当前商品的未成交委托单数量
A_GetOrderCount	返回当前公式应用的帐户下当前商品的当日委托单数量
A_OpenOrderBuyOrSell	返回当前公式应用的帐户下当前商品的某个未成交委托单的买卖类型
A_OpenOrderContractNo	返回当前公式应用的帐户下当前商品的某个委托单的合同号
A_OpenOrderEntryOrExit	返回当前公式应用的帐户下当前商品的某个未成交委托单的开平仓状态
A_OpenOrderFilledLot	返回当前公式应用的帐户下当前商品的某个未成交委托单的成交数量
A_OpenOrderFilledPrice	返回当前公式应用的帐户下当前商品的某个未成交委托单的成交价格
A_OpenOrderLot	返回当前公式应用的帐户下当前商品的某个未成交委托单的委托数量
A_OpenOrderPrice	返回当前公式应用的帐户下当前商品的某个未成交委托单的委托价格
A_OpenOrderStatus	返回当前公式应用的帐户下当前商品的某个未成交委托单的状态
A_OpenOrderTime	返回当前公式应用的帐户下当前商品的某个未成交委托单的委托时间
A_OrderBuyOrSell	返回当前公式应用的帐户下当前商品的某个委托单的买卖类型
A_OrderCanceledLot	返回当前公式应用的帐户下当前商品的某个委托单的撤单数量
A_OrderContractNo	返回当前公式应用的帐户下当前商品的某个委托单的合同号
A_OrderEntryOrExit	返回当前公式应用的帐户下当前商品的某个委托单的开平仓状态
A_OrderFilledLot	返回当前公式应用的帐户下当前商品的某个委托单的成交数量
A_OrderFilledPrice	返回当前公式应用的帐户下当前商品的某个委托单的成交价格
A_OrderLot	返回当前公式应用的帐户下当前商品的某个委托单的委托数量
A_OrderPrice	返回当前公式应用的帐户下当前商品的某个委托单的委托价格
A_OrderStatus	返回当前公式应用的帐户下当前商品的某个委托单的状态
A_OrderTime	返回当前公式应用的帐户下当前商品的某个委托单的委托时间
A_PositionProfitLoss	返回当前公式应用的帐户下当前商品的持仓盈亏
A_PreviousEquity	返回当前公式应用的交易帐户的昨日结存
A_ProfitLoss	返回当前公式应用的交易帐户的浮动盈亏
A_SellAvgPrice	返回当前公式应用的帐户下当前商品的卖出持仓均价
A_SellPosition	返回当前公式应用的帐户下当前商品的卖出持仓
A_SellProfitLoss	返回当前公式应用的帐户下当前商品的卖出持仓盈亏
A_SendOrder	针对当前公式应用的帐户、商品发送委托单
A_TodayBuyPosition	返回当前公式应用的帐户下当前商品的当日买入持仓
A_TodayDeposit	返回当前公式应用的交易帐户的当日入金
A_TodayDrawing	返回当前公式应用的交易帐户的当日出金
A_TodaySellPosition	返回当前公式应用的帐户下当前商品的当日卖出持仓
A_TotalAvgPrice	返回当前公式应用的帐户下当前商品的持仓均价
A_TotalFreeze	返回当前公式应用的交易帐户的资金冻结
A_TotalMargin	返回当前公式应用的交易帐户的持仓保证金
A_TotalPosition	返回当前公式应用的帐户下当前商品的总持仓
AccountDataExist	当前公式应用商品的帐户数据是否有效

# 枚举函数
Enum_AmericanOption	返回美式期权的枚举值
Enum_Buy	返回买卖状态的买入枚举值
Enum_CallOption	返回看涨期权的枚举值
Enum_Canceled	返回委托状态的已撤单枚举值
Enum_Canceling	返回委托状态的正在撤单枚举值
Enum_Declare	返回委托状态的正在申报枚举值
Enum_Declared	返回委托状态的已申报枚举值
Enum_Deleted	返回委托状态的已废除枚举值
Enum_Entry	返回开平仓状态的开仓枚举值
Enum_EuropeanOption	返回欧式期权的枚举值
Enum_Exit	返回开平仓状态的平仓枚举值
Enum_ExitToday	返回开平仓状态的平今仓枚举值
Enum_Filled	返回委托状态的全部成交枚举值
Enum_FillPart	返回委托状态的部分成交枚举值
Enum_PutOption	返回看跌期权的枚举值
Enum_Sell	返回买卖状态的卖出枚举值

# 交易函数
Buy	产生一个多头建仓操作
BuyToCover	产生一个空头平仓操作
Sell	产生一个多头平仓操作
SellShort	产生一个空头建仓操作

# 其他函数
Alert	产生一个报警动作
AlertEnabled	返回当前公式应用的报警设置
Commentary	在超级图表当前Bar添加一行注释信息
FileAppend	在指定文件中追加一行字符串
FileDelete	删除指定文件
FormulaName	获得当前执行的公式名称
GetGlobalVar	获取某个索引的全局变量值
GetGlobalVar2	获取某个字符串索引的全局变量值
GetTBProfileString	读取公式信息文件指定块中的键名对应的字符串
GetTBProfileString2File	读取公式信息文件指定块中的键名对应的字符串
IIF	执行真假值判断，根据逻辑测试的真假值返回不同的数值
IIFString	执行真假值判断，根据逻辑测试的真假值返回不同的字符串
InvalidInteger	返回整型的无效值
InvalidNumeric	返回数值型的无效值
InvalidString	字符串的无效值
PlayWavSound	播放指定路径的Wav声音文件
PlotBool	在当前Bar输出一个布尔值
PlotNumeric	在当前Bar输出一个数值
PlotString	在当前Bar输出一个字符串
SetGlobalVar	设置某个索引的全局变量值
SetGlobalVar2	设置某个字符串索引的全局变量值
SetTBProfileString	把给定的键名及其值写入到公式信息文件的相应块中
SetTBProfileString2File	把给定的键名及其值写入到公式信息文件的相应块中
Unplot	删除曾经输出的值

# 策略性能
AvgBarsEvenTrade	获得保本交易的平均持仓Bar数
AvgBarsLosTrade	获得亏损交易的平均持仓Bar数
AvgBarsWinTrade	获得盈利交易的平均持仓Bar数
GrossLoss	获得累计的总亏损
GrossProfit	获得累计的总利润
LargestLosTrade	获得最大单次交易亏损数
LargestWinTrade	获得最大单次交易盈利数
MaxConsecLosers	获得最大连续亏损交易手数
MaxConsecWinners	获得最大连续盈利交易手数
MaxContractsHeld	获得最大的持仓合约数
NetProfit	获得累计的净利润
NumEvenTrades	获得保本交易的总手数
NumLosTrades	获得亏损交易的总手数
NumWinTrades	获得盈利交易的总手数
PercentProfit	获得盈利的成功率
TotalBarsEvenTrades	获得保本交易的总持仓Bar数
TotalBarsLosTrades	获得亏损交易的总持仓Bar数
TotalBarsWinTrades	获得盈利交易的总持仓Bar数
TotalTrades	获得交易的总手数

# 策略状态
AvgEntryPrice	获得当前持仓的平均建仓价格
BarsSinceEntry	获得当前持仓的第一个建仓位置到当前位置的Bar计数
BarsSinceExit	获得最近平仓位置到当前位置的Bar计数
BarsSinceLastEntry	获得当前持仓的最后一个建仓位置到当前位置的Bar计数
ContractProfit	获得当前持仓位置的每手浮动盈亏
CurrentContracts	获得当前持仓的持仓合约数
CurrentEntries	获得当前持仓的建仓次数
EntryDate	获得当前持仓的第一个建仓位置的日期
EntryPrice	获得当前持仓的第一个建仓价格
EntryTime	获得当前持仓的第一个建仓位置的时间
ExitDate	获得最近平仓位置Bar日期
ExitPrice	获得最近平仓位置的平仓价格
ExitTime	获得最近平仓位置Bar时间
LastEntryDate	获得当前持仓的最后一个建仓位置的日期
LastEntryPrice	获得当前持仓的最后一个建仓价格
LastEntryTime	获得当前持仓的最后一个建仓位置的时间
MarketPosition	获得当前持仓状态
MaxContracts	获得当前持仓的最大持仓合约数
MaxEntries	获得最大的建仓次数
MaxPositionLoss	获得当前持仓的最大浮动亏损数
MaxPositionProfit	获得当前持仓的最大浮动盈利数
PositionProfit	获得当前持仓位置的浮动盈亏

# 组合性能
Portfolio_GrossLoss	获得投资组合的毛损
Portfolio_GrossProfit	获得投资组合的毛利
Portfolio_MaxDrawDown	获得投资组合的最大资产回撤
Portfolio_MaxDrawDownRatio	获得投资组合的最大资产回撤比率
Portfolio_NetProfit	获得投资组合的净利润
Portfolio_PercentProfit	获得投资组合的交易成功率
Portfolio_NumWinTrades	获得投资组合的交易盈利手数
Portfolio_NumLossTrades	获得投资组合的交易亏损手数
Portfolio_TotalTrades	获得投资组合的总交易手数

# 组合状态
Portfolio_CurrentCapital	获得按当前Bar开盘价计算的可用资金
Portfolio_CurrentEntries	获得投资组合的当前建仓次数
Portfolio_CurrentEquity	获得投资组合的动态权益
Portfolio_InitCapital	获得投资组合的初始资金
Portfolio_PositionProfit	获得投资组合的浮动盈亏
Portfolio_TotalProfit	获得投资组合的累计交易盈亏
Portfolio_UsedMargin	获得当前的持仓保证金

# END
